director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms,6.1
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,6.2
Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Drama,boy erased,7.1
Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,Drama War,a private war,6.9
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,7.6
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,6
"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,the grinch,6.8
Fede Alvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Action Crime Thriller Drama,the girl in the spider's web,6.1
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,6.7
Joel and Ethan Coen,Tim Blake Nelson,Zoe Kazan,Liam Neeson,Comedy Drama Western,the ballad of buster scruggs,7.2
Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Science Fiction Action Adventure Comedy,lazer team 2,6
James Nunn,"Chuck Norris (edited); Mike ""The Miz"" Mizanin",Shawn Michaels,Becky Lynch,Action Drama,the marine 6: close quarters,7
Josh Webber, Shaun Cairo ,Jo Marie Payton,Gary Leroi Gray,Drama Thriller,conundrum: secrets among friends,
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Adventure Fantasy Drama,fantastic beasts: the crimes of grindelwald,6.9
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,widows,6.5
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner,Comedy Drama,instant family,7.6
"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet,7.3
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,creed ii,6.9
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy,green book,8.3
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Adventure Action Thriller,robin hood,5.9
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Drama,roma,7.7
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Drama History Comedy,the favourite,7.6
Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Adventure Drama,mowgli: legend of the jungle,6.6
Diederik van Rooijen, Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,5.5
