director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
Shane Dawson,Shane Dawson,Kurt Angle,Cherami Leigh,Comedy,not cool,3.7
Tommy Wirkola,Bjørn Sundquist,Stig Frode Henriksen,Ane Dahl Torp,Comedy Horror,dead snow,6
Ryan Little,Corbin Allred,Larry Bagby,Kirby Heyborne,Action Adventure Drama War,saints and soldiers,6.4
Clark Baker,Taylor Pigeon,Alan Pietruszewski,Whit Spurgeon,Horror Sci-Fi Short Thriller,vessel,5.6
George Lucas,Harrison Ford,Ron Howard,Mackenzie Phillips,Comedy Drama Music,american graffiti,7.1
Robert Greenwald,Scott Helvenston,Katy Helvenston-Wettengal,Donna Zovko,Documentary War,iraq for sale: the war profiteers,8.2
Matt Maiellaro,Tina Fey,Fred Armisen,Chris Kattan,Action Adventure Animation Comedy Fantasy Sci-Fi,aqua teen hunger force colon movie film for theaters,6.4
Colin Trevorrow,Mary Lynn Rajskub,Mark Duplass,Jeff Garlin,Comedy Drama Romance,safety not guaranteed,6.9
Leslie Small,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,Comedy Documentary,kevin hart: laugh at my pain,7.3
Ben Wheatley,MyAnna Buring,Ben Crompton,Neil Maskell,Crime Horror Thriller,kill list,6.1
Ti West,Lena Dunham,Jake Ryan,Pat Healy,Horror,the innkeepers,5.5
David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller,the unborn,5.2
Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Dominique Sanda,Drama,the conformist,4.4
Neil Burger,Raymond J. Barry,Christel Khalil,Renee Faia,Drama,interview with the assassin,5.8
Oliver Blackburn,Julian Morris,Nichola Burley,Tom Burke,Crime Drama Horror Thriller,donkey punch,4.6
Jonathan Levine,Luke Grimes,Michael Welch,Whitney Able,Horror,all the boys love mandy lane,5.5
Christopher Hutson,Dichen Lachman,Jennifer Lee Wiggins,Michele Morrow,Horror,bled,3.1
Fred Zinnemann,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,Thriller Western,high noon,7.7
Steve James,William Gates,Arthur Agee,Isiah Thomas,Documentary Drama Sport,hoop dreams,7.8
David LaChapelle,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,Documentary Music,rize,6.7
Joseph Kosinski,Peter Dinklage,Lauren Cohan,Erick Avari,Action Adventure Fantasy Sci-Fi,destiny,7.6
Michael Cuesta,Adam LeFevre,Bruce Altman,Walter Masterson,Crime Drama,l.i.e.,6.8
Caryn Waechter,Laura Fraser,Kara Hayward,Louis Ozawa Changchien,Drama Mystery Thriller,the sisterhood of night,6.4
Emily Dell,Aimee Garcia,Wesley Jonathan,Drew Sidora,Drama Music Romance,b-girl,6
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong,6.8
Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,Horror,house of wax,5.8
Ryan Fleck,Ryan Gosling,Tristan Mack Wilds,Jeff Lima,Drama,half nelson,6.7
Jennifer Wynne Farmer,Irene Bedard,Akima,Max Gail,Drama,naturally native,6
Christopher Scott Cherot,Hill Harper,Robinne Lee,Chenoa Maxwell,Comedy,hav plenty,7.5
H.M. Coakley,Mehcad Brooks,Steffinnie Phrommany,Danielle Savre,Crime Drama Thriller,adulterers,4.9
Randy Moore,Trey Loney,Lee Armstrong,Amy Lucas,Fantasy Horror,escape from tomorrow,4.7
Chris Atkins,Richard Curtis,Harvey Weinstein,Elton John,Documentary,starsuckers,6.2
Bill Benenson,Alfre Woodard,Dave Fennoy,Jane Goodall,Documentary,the hadza: last of the first,
Ryan Smith,Sandra Ellis Lafferty,Madison Lintz,Karolina Wydra,Fantasy Horror Mystery Thriller,after,7.3
Travis Romero,Matthew Ziff,Lorraine Ziff,Michael Biehn,Drama Thriller,treachery,5.6
Anna Mastro,Leven Rambin,Justin Kirk,Virginia Madsen,Comedy Drama,walter,5.4
Daniel Myrick,Heather Donahue,Joshua Leonard,Michael C. Williams,Horror,the blair witch project,6.3
Michael Wadleigh,Joe Cocker,Jimi Hendrix,Joan Baez,Documentary History Music,woodstock,6.3
John Landis,David Zucker,Barry Dennen,Tara Strohmeier,Comedy,the kentucky fried movie,6.3
Jon Gunn,Stacy Keach,David A.R. White,Cynthia Watros,Action Crime Drama,mercy streets,5
Gene Teigland,Kendyl Joi,Matthew Feeney,Tac Fitzgerald,Mystery Thriller,arnolds park,
Scott Ziehl,William Smith,Jason London,Brent David Fraser,Drama,broken vessels,6
Richard Montoya,Nicholas Gonzalez,Angela Nordeng,Exie Booker,Crime Drama,water & power,6.5
Johanna Schwartz,Aliou Touré,Garba Touré,Khaira Arby,Documentary,they will have to kill us first,6.7
William Gazecki,Karen Alexander,Colin Andrews,Francine Blake,Documentary,crop circles: quest for truth,
Lance McDaniel,Russell Wong,Steven Michael Quezada,Lymari Nadal,Action Drama Thriller,light from the darkroom,
Thomas Lilti,François Cluzet,Félix Moati,Marianne Denicourt,Comedy Drama,irreplaceable,7
Michael Walker,Paula Garcés,Annabella Sciorra,John Brodsky,Thriller,the maid's room,5.2
Richard Lester,Paul McCartney,Ringo Starr,George Harrison,Comedy Musical,a hard day's night,7.4
U. Roberto Romano,unknown,unknown,unknown,Documentary,the harvest/la cosecha,8
Amy Holden Jones,Jamie Lee Curtis,Sally Kirkland,Amy Madigan,Drama Romance,love letters,5.3
Blaz Zavrsnik,Dario Nozic Serini,Spela Colja,Andrej Nahtigal,Comedy,julija in alfa romeo,4.8
Alex Kendrick,Kirk Cameron,Ken Bevel,Erin Bethea,Drama Romance,fireproof,7.2
Pan Nalin,Bhole Baba,Pant Shirt Baba,Shriman Umeshanad Brahmachari,Biography Documentary Drama,faith connections,4.1
Joe Camp,Frances Bavier,Peter Breck,Edgar Buchanan,Adventure Family Romance,benji,6.9
Chris Kentis,Blanchard Ryan,Saul Stein,Daniel Travis,Adventure Biography Drama Horror Thriller,open water,5.4
Matt Walsh,Joe Lo Truglio,Matt Jones,Abby Elliott,Comedy,high road,5.6
John 'Bud' Cardos,Woody Strode,Hoke Howell,Tiffany Bolling,Horror Sci-Fi,kingdom of the spiders,5.4
Marilyn Agrelo,Heather Berman,Eva Carrozza,Paul Daggett,Documentary Family Music,mad hot ballroom,6.9
Tom McCarthy,Peter Dinklage,Joe Lo Truglio,Paula Garcés,Comedy Drama,the station agent,7.4
Brian Baugh,Randy Wayne,Sean Michael Afable,D. David Morin,Drama,to save a life,6.5
Patrick Creadon,Ken Burns,Bill Clinton,Bob Dole,Documentary,wordplay,7.4
Barry W. Blaustein,Terry Funk,Vince McMahon,Mick Foley,Biography Documentary Sport,beyond the mat,7.6
Kurt Hale,Kirby Heyborne,Lincoln Hoppe,Daryn Tufts,Comedy Drama Romance,the singles ward,6.3
Siddiq Barmak,Marina Golbahari,Zubaida Sahar,Mohamad Haref Harati,Drama,osama,6.9
Joseph Dorman,Rachel Dratch,Peter Riegert,Jason Kravits,Documentary,sholem aleichem,6.7
Greg Harrison,Rachel True,Ari Gold,Denny Kirkwood,Drama Music,groove,6.3
Kurt Hale,Kirby Heyborne,Big Budah,Curt Doussett,Comedy Crime Family,the r.m.,5
Michael Polish,Sasha Alexander,William Katt,Jon Gries,Drama,twin falls idaho,7.1
Jacob Aaron Estes,Rory Culkin,Scott Mechlowicz,Trevor Morgan,Crime Drama,mean creek,6.9
Morgan J. Freeman,Edie Falco,Heather Matarazzo,Lynn Cohen,Crime Drama Romance,hurricane streets,5
Eric Schaeffer,Peter Dinklage,Bill Duke,Michael McKean,Comedy Romance,never again,6.1
Neema Barnette,Monica Calhoun,LisaRaye McCoy,Clifton Powell,Crime Drama Thriller,civil brand,7.9
Steve Buscemi,Kevin Corrigan,Seymour Cassel,Mary Kay Place,Comedy Drama,lonesome jim,6.4
Joe Swanberg,Olivia Wilde,Anna Kendrick,Ti West,Comedy Drama Romance,drinking buddies,5.9
Molly Bernstein,David Mamet,Ricky Jay,Dick Cavett,Documentary,deceptive practice,7.1
Akira Kurosawa,Takashi Shimura,Minoru Chiaki,Kamatari Fujiwara,Action Adventure Drama,seven samurai,10
Marius A. Markevicius,Tommy Sheppard,Greg Speirs,Mickey Hart,Documentary Sport,the other dream team,7.6
Tom DiCillo,Brad Pitt,Tina Louise,Nick Cave,Comedy Music Romance,johnny suede,4.8
Justin Lin,Monique Gabriela Curnen,Jake Sandvig,Joe McQueen,Comedy,finishing the game,5.3
Quentin Dupieux,Haley Ramm,Jack Plotnick,Cecelia Antoinette,Comedy Fantasy Horror,rubber,6
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi,home,7.5
C. Jay Cox,Tori Spelling,Amber Benson,Garrett M. Brown,Comedy Romance,kiss the bride,5.3
Alex Smith,Ryan Gosling,Clea DuVall,Eddie Spears,Drama Sport,the slaughter rule,6.5
Gareth Edwards,Scoot McNairy,Whitney Able,Ricky Catter,Drama Sci-Fi Thriller,monsters,7.6
Jonathan Parker,Keith Carradine,Joanne Whalley,Illeana Douglas,Drama,the californians,4
Sol Tryon,Jim Gaffigan,Ann Dowd,Matthew Cowles,Comedy,the living wake,5.5
Alex Craig Mann,Justin Chon,Christa B. Allen,Max Adler,Comedy Horror,detention of the dead,4.9
Hao Ning,Bo Huang,Zheng Xu,Zhonghua Chen,Comedy Crime,crazy stone,7
Stephen Kijak,Brian Eno,Jacques Brel,Damon Albarn,Biography Documentary Music,scott walker: 30 century man,6.9
Marc Forster,Radha Mitchell,Alan Ruck,Megan Mullally,Drama,everything put together,5.1
Andrew Niccol,Bruce Greenwood,Zoë Kravitz,Stafford Douglas,Drama Thriller,good kill,6
William Gazecki,Carol Channing,Bruce Vilanch,Tony Bennett,Documentary,the outrageous sophie tucker,6
Ol Parker,Jeremy Irvine,Olivia Williams,Paddy Considine,Drama Romance,now is good,7.4
Michael Hoffman Jr.,Vincent Chimato,John McGlothlin,Al Sapienza,Comedy Horror,girls gone dead,4
Patrick Gilles,Emma Caulfield,Dylan Baker,Mike Colter,History,america is still the place,
Georgia Hilton,Mike Beckingham,Tim Abell,Tom Stedham,Action Mystery Thriller,subconscious,5.3
Tamra Davis,Britney Spears,Katherine Boecher,Dave Allen,Comedy Drama,crossroads,7.1
Jack Heller,Shaun Sipos,Katherine Waterston,Christopher Denham,Mystery Thriller,enter nowhere,6.4
Warren Sheppard,Jennifer Hale,Randy Jay Burrell,Vincent De Paul,Action Romance Sport,fight to the finish,4
Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Terrance Zdunich,Horror Musical,alleluia! the devil's carnival,6.3
Justin Paul Miller,Mary Kate Wiles,Jennifer Landa,Felix Avitia,Comedy Mystery Thriller,the sound and the shadow,
Joel Paul Reisig,Carrie Bradstreet,Joel Paul Reisig,Yassie Hawkes,Family,rodeo girl,6.3
Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,Action Biography Documentary Sport,born to fly: elizabeth streb vs. gravity,5.3
Luke Dye,Mike Stanley,Jeff Delaney,Jamison Stalsworth,Family,the little ponderosa zoo,2
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful,5.9
Michael Herz,Patrick Kilpatrick,Mark Torgl,Pat Ryan,Action Comedy Horror Sci-Fi,the toxic avenger,6.4
Matty Rich,Lawrence Gilliard Jr.,George T. Odom,Matty Rich,Crime Drama,straight out of brooklyn,6
Paul Greengrass,James Nesbitt,Nicholas Farrell,Tim Pigott-Smith,Drama History War,bloody sunday,7.4
Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,Action,diamond ruff,2.4
Hans Canosa,Olivia Wilde,Thomas Lennon,Nora Zehetner,Comedy Drama Romance,conversations with other women,6.2
Lloyd Kaufman,John Karyus,Lloyd Kaufman,Kate Graham,Comedy Horror Musical,poultrygeist: night of the chicken dead,6.1
Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,Comedy Romance,mutual friends,
Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,Documentary,rise of the entrepreneur,8
Whit Stillman,Chris Eigeman,Taylor Nichols,Ellia Thompson,Comedy Drama Romance,metropolitan,6.9
Kay Pollak,Michael Nyqvist,Frida Hallgren,Nils-Anders Vallgårda,Comedy Drama Music Romance,as it is in heaven,8
Eric England,Jack E. Curenton,Ace Marrero,Alan Pietruszewski,Drama Horror Mystery Thriller,roadside,6.3
Jared Hess,Jon Heder,Diedrich Bader,Jon Gries,Comedy,napoleon dynamite,6.8
Jeremy Saulnier,Devin Ratray,Eve Plumb,Amy Hargreaves,Crime Drama Thriller,blue ruin,6.8
Oren Peli,Micah Sloat,Ashley Palmer,Amber Armstrong,Horror,paranormal activity,5.9
Stacy Peralta,Tony Alva,Jay Adams,Jeff Ament,Documentary Sport,dogtown and z-boys,7.2
Terry Gilliam,Eric Idle,Michael Palin,Terry Jones,Adventure Comedy Fantasy,monty python and the holy grail,7.8
Richard Glatzer,Emily Rios,Jesse Garcia,Alicia Sixtos,Drama,quinceañera,6.7
Sue Corcoran,Tony Doupe,Sue Corcoran,David Frederick White,Comedy Fantasy Horror Musical,gory gory hallelujah,3
Jonathan Caouette,Greg Ayres,Jonathan Caouette,Renee Leblanc,Biography Documentary,tarnation,7.2
Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,Documentary,i want your money,4.2
Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,Comedy Horror,love in the time of monsters,7
Lucio Fulci,Catriona MacColl,David Warbeck,Al Cliver,Horror,the beyond,5.1
Tom Vaughan,Treat Williams,Andrew Daly,Michelle Krusiec,Comedy Romance,what happens in vegas,6
Paul Fox,Dov Tiefenbach,Jeff Seymour,Gordon Currie,Horror Thriller,the dark hours,5.8
Stephen Frears,Saeed Jaffrey,Roshan Seth,Garry Cooper,Comedy Drama Romance,my beautiful laundrette,6.8
Ari Kirschenbaum,R. Brandon Johnson,Adam LeFevre,Desmond Askew,Drama Horror Mystery Thriller,fabled,
Cassandra Nicolaou,Katharine Isabelle,Michelle Nolden,Gabriel Hogan,Drama Thriller,show me,6.1
Ingmar Bergman,Liv Ullmann,Ingrid Thulin,Erland Josephson,Drama,cries & whispers,8
Roger Nygard,Walter Koenig,DeForest Kelley,James Doohan,Documentary,trekkies,6.4
Sam Raimi,Ted Raimi,Betsy Baker,Ellen Sandweiss,Fantasy Horror,the evil dead,7.3
Franck Khalfoun,America Olivo,Nora Arnezeder,Liane Balaban,Horror Thriller,maniac,5.9
Mor Loushy,Amos Oz,unknown,unknown,Documentary History,censored voices,6.1
Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,Documentary Sport,murderball,7.1
Sam Firstenberg,Michael Dudikoff,Steve James,Larry Poindexter,Action Drama,american ninja 2,5.5
Doug Block,Carol Block,Ellen Block,Mike Block,Documentary,51 birch street,7.1
Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,Family Sci-Fi,rotor dr1,3.2
John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller,halloween,7.9
Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,Crime Drama,12 angry men,8.5
Paul Fierlinger,Isabella Rossellini,Peter Gerety,Lynn Redgrave,Animation Drama,my dog tulip,7.2
Yorgos Lanthimos,Angeliki Papoulia,Mary Tsoni,Sissy Petropoulou,Drama Thriller,dogtooth,7.2
Lauren Lazin,James Cagney,Gary Coleman,Todd Bridges,Biography Documentary Music,tupac: resurrection,7.8
Gavin O'Connor,Kimberly J. Brown,Janet McTeer,Lois Smith,Comedy Drama,tumbleweeds,6.7
Gregory Widen,Viggo Mortensen,Adam Goldberg,Virginia Madsen,Action Fantasy Horror Mystery Thriller,the prophecy,6.5
Cédric Klapisch,Simon Abkarian,Zinedine Soualem,Jane Bradbury,Comedy Romance,when the cat's away,5.4
Peter Hedges,Oliver Platt,Adrian Martinez,Derek Luke,Comedy Drama,pieces of april,6.4
Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,Drama,the big swap,6.5
Kelly Reichardt,Daniel London,Lucy,Will Oldham,Drama,old joy,6.5
Kelly Reichardt,John Robinson,Lucy,Will Oldham,Drama,wendy and lucy,6.7
Eric Mendelsohn,Embeth Davidtz,Edie Falco,Kathryn Erbe,Drama,3 backyards,4.2
Jean-Luc Godard,Jean-Paul Belmondo,Anna Karina,Graziella Galvani,Crime Drama Romance,pierrot le fou,7.6
Florence Ayisi,Vera Ngassa,Beatrice Ntuba,unknown,Documentary,sisters in law,6.9
Pan Nalin,unknown,unknown,unknown,Documentary,ayurveda: art of being,5.3
Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,Drama Romance,nothing but a man,7.5
Jesse Peretz,Robert John Burke,Eli Marienthal,Natasha Gregson Wagner,Drama Romance,"first love, last rites",3
Eddie O'Flaherty,Don Wallace,Eddie Jones,Christina Chambers,Drama Sport,fighting tommy riley,5.3
Babar Ahmed,Lalaine,Alexander Wraith,Darren Kendrick,Action Thriller,royal kill,3.3
Julie Taymor,Jim Sturgess,T.V. Carpio,Robert Clohessy,Drama Fantasy Musical Romance,across the universe,7.2
John D. Hancock,Trish Basinger,Elizabeth Stenholt,Mary Norwood,Drama Music,the looking glass,6.6
Paul Bartel,Sylvester Stallone,David Carradine,Martin Kove,Action Comedy Sci-Fi Sport,death race 2000,6.1
Bruce Dellis,Tatyana Ali,Ricky Schroder,Jon Polito,Thriller,locker 13,6.4
Pece Dingo,Michael Des Barres,Wilhelm von Homburg,Thom Mathews,Horror,midnight cabaret,
Jerome Elston Scott,Taran Killam,Joanna Cassidy,Ryan Carnes,Comedy Drama Romance,anderson's cross,5
Étienne Faure,Rumi Missabu,Pierre Prieur,Raquel Nave,Drama Musical Romance,bizarre,5.5
Herb Freed,Linnea Quigley,Carmen Argenziano,Vanna White,Horror Mystery,graduation day,5
Jack Perez,Kevin Corrigan,Barry Bostwick,Ahmed Best,Comedy Crime Drama Horror Mystery Thriller,some guy who kills people,6
Craig Zobel,Dreama Walker,Matt Servitto,James McCaffrey,Biography Crime Drama Thriller,compliance,6.4
Kevin Smith,Matt Damon,Ethan Suplee,Joey Lauren Adams,Comedy Drama Romance,chasing amy,6.8
Nicole Holofcener,Aunjanue Ellis,Brenda Blethyn,Raven Goodwin,Comedy Drama Romance,lovely & amazing,6.3
Ken Del Conte,Hector Echavarria,Robert Miano,Ron Roggé,Action Adventure Mystery Romance Thriller,death calls,
Justin Lin,Parry Shen,Jason Tobin,Collin Kahey,Crime Drama Romance,better luck tomorrow,6.6
Maria Maggenti,Nicole Ari Parker,Laurel Holloman,Stephanie Berry,Comedy Drama Romance,the incredibly true adventure of two girls in love,5.9
Miguel Arteta,Lupe Ontiveros,Mike White,Chris Weitz,Comedy Drama,chuck & buck,6.2
Piyush Dinker Pandya,Purva Bedi,Rizwan Manji,Anil Kumar,Comedy Drama Romance,american desi,5.6
Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,Action Crime Drama,amidst the devil's wings,
Vincenzo Natali,David Hewlett,Julian Richings,Nicole de Boer,Mystery Sci-Fi Thriller,cube,6.8
Emma-Kate Croghan,Radha Mitchell,Frances O'Connor,Matt Day,Comedy Romance,love and other catastrophes,5.5
Bill Plympton,Charis Michelsen,Bill Martone,Richard Spore,Animation Comedy Drama Fantasy Sci-Fi,i married a strange person!,7.4
Greg Harrison,Amir Talai,Anne Archer,Nora Dunn,Drama Mystery Thriller,november,6.1
Drake Doremus,Jennifer Lawrence,Charlie Bewley,Finola Hughes,Drama Romance,like crazy,6.4
Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,Horror,teeth and blood,6.5
Allison Anders,Ally Sheedy,Rosanna Arquette,John Doe,Comedy Music,sugar town,6.3
Michael Kang,Samantha Futerman,Clint Jordan,Jackie Nova,Comedy Drama,the motel,6.3
Paul Schrader,Nolan Gerard Funk,Gus Van Sant,James Deen,Drama Thriller,the canyons,4.6
Lori Silverbush,Judy Marte,Flaco Navaja,Dominic Colón,Drama,on the outs,5.4
Jeff Nichols,Michael Abbott Jr.,Natalie Canerday,Travis Smith,Drama Thriller,shotgun stories,7.2
Stuart Hazeldine,Colin Salmon,Luke Mably,Pollyanna McIntosh,Mystery Thriller,exam,6.7
Hilary Brougher,James Urbaniak,Samantha Buck,Terumi Matthews,Sci-Fi,the sticky fingers of time,4
Rachel Goldenberg,Dustin Fitzsimons,Mark Hengst,Debra Lynn Hull,Drama Musical,sunday school musical,4.9
Corbin Bernsen,Corbin Bernsen,Lorne Cardinal,Kirsten Collins,Drama,rust,6.2
Jamin Winans,Eme Ikwuakor,Marty Lindsey,Jessica Duffy,Action Drama Fantasy Sci-Fi,ink,6.4
Tom Seidman,Florence Henderson,Derek Brandon,Charles Irving Beale,Drama Family,the christmas bunny,5.9
Jason Naumann,Victoria Jackson,Kate Flannery,Tim Bagley,Comedy Short,jesus people,5
Matt Cimber,Stacy Keach,June Lockhart,Stuart Whitman,Crime Drama,butterfly,6.3
Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,Documentary,undivided,
Andrew Hyatt,Noah Segan,Brit Morgan,Sedona James,Horror Thriller,the frozen,6.2
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Fantasy Romance,the love letter,5.4
Joel Paul Reisig,Joshua Ray Bell,Dana Blackstone,Annelyse Ahmad,Family,horse camp,7.8
Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,Documentary,give me shelter,2
Ward Roberts,Sid Haig,Jacob Zachar,Travis Betz,Comedy,little big top,10
Zoran Lisinac,Matthew Emerick,Brock Baker,Sheldon Bailey,Comedy Music Romance,along the roadside,7.5
Nicolas Winding Refn,Tom Hardy,James Lance,Matt King,Action Biography Crime Drama,bronson,7
James O'Brien,Mark Fantasia,Vivian Lamolli,Greg Jackson,Adventure Drama Fantasy Thriller Western,western religion,
Tom Putnam,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,Documentary,burn,6
Jon Shear,Dan Futterman,Josh Hamilton,Matt Keeslar,Drama,urbania,5.8
Al Silliman Jr.,Christina Hart,Nancy Ison,William Condos,Comedy Drama,the stewardesses,4.2
Eugène Lourié,Kenneth Tobey,Cecil Kellaway,Ross Elliott,Adventure Horror Sci-Fi,"the beast from 20,000 fathoms",6.6
Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,Adventure Drama Family Fantasy Sci-Fi,"20,000 leagues under the sea",7
George Miller,Hugh Keays-Byrne,Steve Bisley,Joanne Samuel,Action Adventure Sci-Fi Thriller,mad max,6.7
Doug Liman,Jon Favreau,Alex Désert,Blake Lindsley,Comedy Drama,swingers,7
Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,Action Drama Western,a fistful of dollars,7.9
Maurizio Benazzo,The Dalai Lama,Jasper Johal,Swami Krishnanad,Documentary,short cut to nirvana: kumbh mela,
David G. Evans,Michael Joiner,Chris Thomas,Michael Higgenbottom,Drama,the grace card,6.9
Ava DuVernay,Omari Hardwick,David Oyelowo,Lorraine Toussaint,Drama,middle of nowhere,5.8
Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,Comedy Drama Romance,3,7.9
Sherman Alexie,William Joseph Elk III,Leo Rossi,Cynthia Geary,Drama Music,the business of fancydancing,7.5
Justin Dillon,Matisyahu,Natasha Bedingfield,Madeleine Albright,Documentary History Music,call + response,7.7
Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,Crime Drama Thriller,side effects,6.5
Stevan Mena,R. Brandon Johnson,Stevan Mena,Richard Glover,Crime Horror Mystery Thriller,malevolence,5.3
Adam Rifkin,Marri Savinar,Adam Rifkin,Bethany Blakey,Comedy Drama,shooting the warwicks,4.8
Eric Valette,Melanie Papalia,Ryan Kennedy,John Reardon,Horror Sci-Fi Thriller,super hybrid,5.2
Jay Duplass,Greta Gerwig,Jennifer Lafleur,Elise Muller,Comedy Drama Horror Romance,baghead,5.8
Livingston Oden,Susan Chambers,Victoria Lachelle,Ali Daniels,Comedy Horror Mystery Thriller,solitude,4.7
Chris Marker,Marina Vlady,Bertrand Cantat,Léon Schwartzenberg,Documentary,the case of the grinning cat,7.4
Carl Theodor Dreyer,Hanne Aagesen,Sylvia Eckhausen,Ejner Federspiel,Drama Fantasy,ordet,8
Marianna Palka,Bryce Dallas Howard,Martin Starr,Jason Ritter,Comedy Drama Romance,good dick,6.1
Richard Schenkman,William Katt,John Billingsley,David Lee Smith,Drama Romance Sci-Fi,the man from earth,7.7
Ricki Stern,Darryl Hunt,Evelyn Jefferson,John Reeves,Crime Documentary,the trials of darryl hunt,8.5
Nadia Tass,Mia Farrow,Jordan Bridges,Bruce Gooch,Drama Family,an american girl holiday,6.3
James Kerwin,John Newton,Chase Masterson,H.M. Wynant,Drama Music Mystery Romance Sci-Fi,yesterday was a lie,5.9
C. Fraser Press,Elaine Bromka,Robert Turano,Matthew Gumley,Comedy Drama Music,theresa is a mother,
Rania Attieh,Paul Hickert,Robin Bartlett,Rebecca Dayan,Drama Sci-Fi Thriller,h.,6
Sharon Greytak,Sally Kirkland,Alex Emanuel,Elaine Bromka,Drama,archaeology of a woman,
Majid Majidi,Bahare Seddiqi,Amir Farrokh Hashemian,Mohammad Amir Naji,Drama Family,children of heaven,7.9
Andrew Haigh,Tom Cullen,Chris New,Vauxhall Jermaine,Drama Romance,weekend,6.8
Spike Lee,S. Epatha Merkerson,Joie Lee,Tracy Camilla Johns,Comedy Romance,she's gotta have it,6.8
Cary Bell,Abigail Evans,Stacie Evans,Emily Gorell,Documentary,butterfly girl,6
Nicolae Constantin Tanase,Iulia Ciochina,Ana Maria Guran,Ana Vatamanu,Drama,the world is mine,
Mike Cahill,Robin Lord Taylor,William Mapother,Flint Beverage,Drama Romance Sci-Fi,another earth,6.7
Jason Stone,Topher Grace,Ellen Burstyn,Christopher Heyerdahl,Thriller,the calling,5.6
Melvin Van Peebles,John Amos,Mario Van Peebles,Melvin Van Peebles,Crime Drama Thriller,sweet sweetback's baadasssss song,5.3
Ken Roht,Charla Cochran,Joe Lev,Sienna Beckman,Drama,perfect cowboy,4.7
Gary Winick,Bebe Neuwirth,Aaron Stanford,Ron Rifkin,Comedy Drama Romance,tadpole,5.9
John Carney,Glen Hansard,Markéta Irglová,Darren Healy,Drama Music Romance,once,6.8
Robinson Devor,Marilyn Rising,Eugene Roche,Max Kerstein,Comedy,the woman chaser,4.9
Michel Orion Scott,Temple Grandin,Rowan Isaacson,Simon Baron-Cohen,Documentary,the horse boy,6.7
Pat Holden,Alan Brent,Martin Compston,Kate Ashfield,Horror,when the lights went out,5.6
Eric Bugbee,Joel Moody,Bill Allen,Lia Tucker,Action Drama Sport,heroes of dirt,
Tobe Hooper,Gunnar Hansen,Edwin Neal,Marilyn Burns,Horror Thriller,the texas chain saw massacre,7.3
Bill Melendez,Peter Robbins,Bill Melendez,Christopher Shea,Animation Comedy Family,a charlie brown christmas,7.7
Dena Seidel,Naderev Sano,Hugh Ducklow,Mike Brett,Adventure Documentary,antarctic edge: 70° south,7
Deborah Anderson,Lisa Ann,Jesse Jane,Kayden Kross,Documentary,aroused,6.4
Sara Newens,Ariel Hsing,Xinhua Jiang,Michael Landers,Documentary,top spin,7
Michael Moore,Michael Moore,Pat Boone,Bob Eubanks,Documentary,roger & me,7.3
Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,Fantasy Horror Thriller,cat people,5.9
Sai Varadan,J.D. Williams,Hassan Johnson,Samantha Esteban,Drama,an american in hollywood,
